fecha,maxima
21-09-1951,28.4
21-09-1952,22.4
21-09-1953,29.6
21-09-1954,23.9
21-09-1955,29
21-09-1956,24.3
21-09-1957,25
21-09-1958,32.8
21-09-1959,22.3
21-09-1960,20.6
21-09-1961,26
21-09-1962,24.6
21-09-1963,29.8
21-09-1964,26
21-09-1965,27
21-09-1966,29.6
21-09-1967,25
21-09-1968,31
21-09-1969,22.4
21-09-1970,32
21-09-1971,25.8
21-09-1972,18
21-09-1973,22.2
21-09-1974,24.5
21-09-1975,25.4
21-09-1976,27
21-09-1977,15.6
21-09-1978,28.6
21-09-1979,19.6
21-09-1980,26.1
21-09-1981,28.8
21-09-1982,27
21-09-1983,30.6
21-09-1984,24
21-09-1985,31
21-09-1986,29
21-09-1987,28.2
21-09-1988,27.5
21-09-1989,28
21-09-1990,27
21-09-1991,29.2
21-09-1992,30.5
21-09-1993,26
21-09-1994,19.5
21-09-1995,23.5
21-09-1996,19
21-09-1997,27.7
21-09-1998,27.5
21-09-1999,25.2
21-09-2000,24.5
21-09-2001,28.7
21-09-2002,25.5
21-09-2003,28
21-09-2004,26.2
21-09-2005,25.8
21-09-2006,27.2
21-09-2007,23
21-09-2008,29.6
21-09-2009,26.1
21-09-2010,29.5
21-09-2011,30.3
21-09-2012,30.7
21-09-2013,29.3
21-09-2014,30.2
21-09-2015,29.2
21-09-2016,28.2
21-09-2017,28.2
