puesto,fecha,cantidad
diseñador,2008,46
diseñador,2009,163
diseñador,2010,271
diseñador,2011,401
diseñador,2012,235
diseñador,2013,228
diseñador,2014,246
diseñador,2015,335
diseñador,2016,403
diseñador,2017,533
programador,2008,48
programador,2009,167
programador,2010,387
programador,2011,527
programador,2012,363
programador,2013,257
programador,2014,289
programador,2015,293
programador,2016,339
programador,2017,342
marketing,2008,1
marketing,2009,10
marketing,2010,38
marketing,2011,70
marketing,2012,39
marketing,2013,34
marketing,2014,42
marketing,2015,50
marketing,2016,124
marketing,2017,157
front,2008,1
front,2009,14
front,2010,19
front,2011,52
front,2012,61
front,2013,92
front,2014,111
front,2015,162
front,2016,201
front,2017,262
ux,2008,0
ux,2009,1
ux,2010,13
ux,2011,22
ux,2012,29
ux,2013,19
ux,2014,40
ux,2015,85
ux,2016,104
ux,2017,115
