id,date,value,min
1,29/07/1951,1,22
2,30/07/1951,1,20.9
3,06/08/1951,1,20
4,23/06/1952,1,20
5,25/06/1952,1,20.4
6,30/06/1952,1,20.4
7,01/07/1952,1,20.1
8,06/08/1952,1,20
9,12/08/1952,1,21.2
10,13/08/1952,1,20.8
11,14/08/1952,1,21.2
12,28/08/1952,1,20.6
13,21/07/1953,1,20.4
14,26/07/1954,1,21.7
15,09/08/1954,1,22.6
16,18/07/1955,1,20.4
17,20/08/1955,1,21
18,06/07/1956,1,20.8
19,08/07/1956,1,21.4
20,18/08/1956,1,21.7
21,13/09/1956,1,20
22,05/07/1957,1,20.4
23,03/08/1957,1,20.4
24,04/08/1957,1,20.4
25,06/08/1957,1,20
26,07/08/1957,1,20.4
27,09/08/1957,1,23.4
28,13/07/1958,1,20.5
29,15/07/1958,1,20
30,28/07/1958,1,20.2
31,29/07/1958,1,22
32,30/07/1958,1,22.2
33,31/07/1958,1,21.5
34,09/08/1958,1,20.5
35,28/08/1958,1,20.4
36,29/08/1958,1,21.3
37,08/09/1958,1,20.4
38,23/06/1959,1,20.5
39,11/07/1959,1,20
40,14/08/1959,1,20
41,27/05/1960,1,20
42,20/06/1960,1,22.2
43,21/06/1960,1,21
44,18/07/1960,1,20.2
45,26/07/1960,1,20.2
46,29/07/1960,1,20.9
47,23/06/1961,1,20.2
48,24/06/1961,1,21.2
49,31/07/1961,1,20
50,06/08/1961,1,20.6
51,07/08/1961,1,20
52,08/08/1961,1,20
53,20/07/1962,1,20.4
54,25/07/1962,1,20.4
55,01/08/1962,1,20.2
56,14/08/1962,1,21.4
57,20/08/1962,1,20.4
58,31/08/1962,1,22
59,16/07/1963,1,20
60,25/07/1963,1,21.4
61,26/07/1963,1,20.2
62,31/07/1963,1,20
63,16/07/1964,1,20
64,17/07/1964,1,20.2
65,21/07/1964,1,21.4
66,22/07/1964,1,20
67,26/07/1964,1,21.2
68,04/08/1964,1,20.4
69,05/08/1964,1,20
70,06/08/1964,1,20.4
71,02/09/1964,1,20.2
72,27/06/1965,1,20.2
73,06/08/1965,1,21.8
74,04/08/1966,1,20.4
75,12/07/1967,1,20.4
76,17/07/1967,1,20.3
77,20/07/1967,1,22.3
78,21/07/1967,1,20
79,27/07/1967,1,20
80,01/08/1967,1,21.3
81,02/08/1967,1,20.2
82,10/07/1968,1,20.7
83,27/07/1968,1,20.2
84,31/07/1968,1,20.4
85,21/09/1968,1,21.2
86,20/07/1969,1,22.4
87,21/07/1969,1,21.4
88,22/07/1969,1,20.4
89,24/07/1969,1,20
90,05/08/1969,1,20
91,09/08/1969,1,22.4
92,10/08/1969,1,20.2
93,12/08/1969,1,20.6
94,13/08/1969,1,20
95,14/08/1969,1,21.2
96,07/07/1970,1,20.2
97,11/07/1970,1,20.3
98,12/07/1970,1,20.1
99,23/07/1970,1,20
100,13/08/1970,1,20.6
101,17/08/1970,1,20
102,30/07/1971,1,20
103,03/08/1971,1,20
104,17/08/1971,1,20.8
105,18/08/1971,1,20
106,25/08/1971,1,21.4
107,23/07/1972,1,20.4
108,24/07/1972,1,20
109,27/07/1972,1,20.7
110,07/08/1972,1,20.4
111,01/07/1973,1,20.2
112,12/07/1973,1,20.4
113,09/08/1973,1,20.7
114,11/08/1973,1,21.2
115,12/08/1973,1,20.4
116,13/08/1973,1,21
117,14/08/1973,1,21
118,01/07/1974,1,20
119,27/07/1974,1,20.2
120,02/08/1974,1,20.6
121,03/08/1974,1,20.4
122,29/06/1975,1,20
123,29/07/1975,1,20.4
124,30/07/1975,1,20.6
125,31/07/1975,1,21.2
126,01/08/1975,1,22
127,02/08/1975,1,20
128,03/08/1975,1,20.6
129,04/08/1975,1,20.6
130,05/08/1975,1,20.4
131,07/08/1975,1,20.4
132,08/08/1975,1,21.4
133,24/06/1976,1,20.6
134,25/06/1976,1,20.2
135,04/07/1976,1,20
136,15/07/1976,1,20
137,16/07/1976,1,20.8
