fecha,max
1951,28.4
1952,22.4
1953,29.6
1954,23.9
1955,29
1956,24.3
1957,25
1958,32.8
1959,22.3
1960,20.6
1961,26
1962,24.6
1963,29.8
1964,26
1965,27
1966,29.6
1967,25
1968,31
1969,22.4
1970,32
1971,25.8
1972,18
1973,22.2
1974,24.5
1975,25.4
1976,27
1977,15.6
1978,28.6
1979,19.6
1980,26.1
1981,28.8
1982,27
1983,30.6
1984,24
1985,31
1986,29
1987,28.2
1988,27.5
1989,28
1990,27
1991,29.2
1992,30.5
1993,26
1994,19.5
1995,23.5
1996,19
1997,27.7
1998,27.5
1999,25.2
2000,24.5
2001,28.7
2002,25.5
2003,28
2004,26.2
2005,25.8
2006,27.2
2007,23
2008,29.6
2009,26.1
2010,29.5
2011,30.3
2012,30.7
2013,29.3
2014,30.2
2015,29.2
2016,28.2
2017,28.2
