fecha,max,mes
1951,10.8,Enero
1951,11.0,Febrero
1951,14.3,Marzo
1951,17.7,Abril
1951,19.1,Mayo
1951,28.0,Junio
1951,31.9,Julio
1951,29.1,Agosto
1951,26.9,Septiembre
1951,18.5,Octubre
1951,15.7,Noviembre
1951,11.4,Diciembre
1952,8.3,Enero
1952,12.1,Febrero
1952,19.3,Marzo
1952,19.1,Abril
1952,25.7,Mayo
1952,31.0,Junio
1952,29.9,Julio
1952,30.2,Agosto
1952,23.1,Septiembre
1952,21.8,Octubre
1952,14.5,Noviembre
1952,11.5,Diciembre
1953,7.0,Enero
1953,11.4,Febrero
1953,16.6,Marzo
1953,19.8,Abril
1953,26.8,Mayo
1953,23.2,Junio
1953,29.4,Julio
1953,31.6,Agosto
1953,27.3,Septiembre
1953,19.9,Octubre
1953,13.3,Noviembre
1953,13.0,Diciembre
1954,7.3,Enero
1954,10.7,Febrero
1954,15.9,Marzo
1954,17.8,Abril
1954,21.6,Mayo
1954,26.7,Junio
1954,28.4,Julio
1954,29.4,Agosto
1954,27.5,Septiembre
1954,22.7,Octubre
1954,17.2,Noviembre
1954,10.5,Diciembre
1955,12.9,Enero
1955,12.3,Febrero
1955,15.9,Marzo
1955,22.3,Abril
1955,25.3,Mayo
1955,27.5,Junio
1955,31.5,Julio
1955,31.0,Agosto
1955,25.8,Septiembre
1955,19.8,Octubre
1955,13.3,Noviembre
1955,10.7,Diciembre
1956,10.6,Enero
1956,5.8,Febrero
1956,16.1,Marzo
1956,17.2,Abril
1956,23.1,Mayo
1956,24.8,Junio
1956,30.9,Julio
1956,29.1,Agosto
1956,27.0,Septiembre
1956,19.5,Octubre
1956,12.3,Noviembre
1956,7.3,Diciembre
1957,8.3,Enero
1957,15.5,Febrero
1957,20.6,Marzo
1957,18.7,Abril
1957,21.1,Mayo
1957,24.6,Junio
1957,29.6,Julio
1957,30.5,Agosto
1957,27.1,Septiembre
1957,20.0,Octubre
1957,12.9,Noviembre
1957,10.6,Diciembre
1958,10.3,Enero
1958,13.5,Febrero
1958,16.4,Marzo
1958,17.4,Abril
1958,26.5,Mayo
1958,27.2,Junio
1958,31.0,Julio
1958,30.6,Agosto
1958,30.1,Septiembre
1958,21.0,Octubre
1958,13.9,Noviembre
1958,11.7,Diciembre
1959,11.0,Enero
1959,12.2,Febrero
1959,15.9,Marzo
1959,18.8,Abril
1959,21.1,Mayo
1959,28.0,Junio
1959,32.0,Julio
1959,30.6,Agosto
1959,25.1,Septiembre
1959,19.6,Octubre
1959,13.7,Noviembre
1959,12.1,Diciembre
1960,10.1,Enero
1960,12.8,Febrero
1960,16.4,Marzo
1960,19.4,Abril
1960,25.8,Mayo
1960,29.0,Junio
1960,29.6,Julio
1960,30.4,Agosto
1960,25.1,Septiembre
1960,17.1,Octubre
1960,14.6,Noviembre
1960,8.7,Diciembre
1961,10.0,Enero
1961,15.9,Febrero
1961,18.9,Marzo
1961,21.3,Abril
1961,25.1,Mayo
1961,28.6,Junio
1961,30.8,Julio
1961,29.5,Agosto
1961,28.2,Septiembre
1961,20.5,Octubre
1961,13.6,Noviembre
1961,11.8,Diciembre
1962,11.3,Enero
1962,11.7,Febrero
1962,14.2,Marzo
1962,18.8,Abril
1962,22.7,Mayo
1962,28.0,Junio
1962,31.7,Julio
1962,33.3,Agosto
1962,28.3,Septiembre
1962,20.6,Octubre
1962,11.9,Noviembre
1962,8.1,Diciembre
1963,8.5,Enero
1963,8.6,Febrero
1963,15.9,Marzo
1963,18.4,Abril
1963,23.0,Mayo
1963,28.1,Junio
1963,31.9,Julio
1963,27.8,Agosto
1963,24.5,Septiembre
1963,21.4,Octubre
1963,15.2,Noviembre
1963,7.6,Diciembre
1964,6.1,Enero
1964,13.3,Febrero
1964,15.5,Marzo
1964,18.7,Abril
1964,27.7,Mayo
1964,28.9,Junio
1964,33.4,Julio
1964,31.1,Agosto
1964,30.4,Septiembre
1964,19.1,Octubre
1964,13.9,Noviembre
1964,8.8,Diciembre
1965,9.6,Enero
1965,9.7,Febrero
1965,16.0,Marzo
1965,17.9,Abril
1965,25.9,Mayo
1965,30.6,Junio
1965,31.4,Julio
1965,30.6,Agosto
1965,24.2,Septiembre
1965,20.3,Octubre
1965,13.9,Noviembre
1965,11.9,Diciembre
1966,11.4,Enero
1966,15.0,Febrero
1966,15.1,Marzo
1966,19.8,Abril
1966,24.1,Mayo
1966,28.4,Junio
1966,29.0,Julio
1966,30.6,Agosto
1966,29.1,Septiembre
1966,19.6,Octubre
1966,12.7,Noviembre
1966,11.8,Diciembre
1967,9.0,Enero
1967,12.1,Febrero
1967,18.0,Marzo
1967,17.7,Abril
1967,23.2,Mayo
1967,26.6,Junio
1967,34.0,Julio
1967,31.2,Agosto
1967,26.8,Septiembre
1967,23.2,Octubre
1967,13.4,Noviembre
1967,8.8,Diciembre
1968,11.8,Enero
1968,12.8,Febrero
1968,14.2,Marzo
1968,18.7,Abril
1968,21.9,Mayo
1968,28.1,Junio
1968,31.3,Julio
1968,28.8,Agosto
1968,26.6,Septiembre
1968,24.6,Octubre
1968,13.4,Noviembre
1968,11.1,Diciembre
1969,10.7,Enero
1969,10.3,Febrero
1969,14.1,Marzo
1969,16.6,Abril
1969,22.3,Mayo
1969,25.3,Junio
1969,31.9,Julio
1969,30.0,Agosto
1969,23.7,Septiembre
1969,21.0,Octubre
1969,13.6,Noviembre
1969,9.6,Diciembre
1970,11.6,Enero
1970,12.4,Febrero
1970,13.6,Marzo
1970,18.7,Abril
1970,23.3,Mayo
1970,28.7,Junio
1970,31.7,Julio
1970,30.4,Agosto
1970,29.1,Septiembre
1970,19.0,Octubre
1970,15.8,Noviembre
1970,7.8,Diciembre
1971,8.7,Enero
1971,13.7,Febrero
1971,12.0,Marzo
1971,19.1,Abril
1971,20.1,Mayo
1971,25.9,Junio
1971,30.9,Julio
1971,31.2,Agosto
1971,26.4,Septiembre
1971,21.8,Octubre
1971,11.5,Noviembre
1971,8.4,Diciembre
1972,8.7,Enero
1972,12.4,Febrero
1972,15.8,Marzo
1972,17.7,Abril
1972,21.0,Mayo
1972,25.5,Junio
1972,30.1,Julio
1972,27.8,Agosto
1972,21.8,Septiembre
1972,18.7,Octubre
1972,14.7,Noviembre
1972,8.6,Diciembre
1973,9.3,Enero
1973,11.7,Febrero
1973,14.7,Marzo
1973,18.1,Abril
1973,25.1,Mayo
1973,26.3,Junio
1973,30.1,Julio
1973,31.9,Agosto
1973,26.7,Septiembre
1973,20.2,Octubre
1973,12.9,Noviembre
1973,10.7,Diciembre
1974,12.2,Enero
1974,12.2,Febrero
1974,14.4,Marzo
1974,17.1,Abril
1974,23.0,Mayo
1974,27.0,Junio
1974,30.0,Julio
1974,29.4,Agosto
1974,24.3,Septiembre
1974,16.2,Octubre
1974,15.0,Noviembre
1974,10.7,Diciembre
1975,10.5,Enero
1975,13.5,Febrero
1975,13.3,Marzo
1975,18.3,Abril
1975,20.8,Mayo
1975,26.7,Junio
1975,32.9,Julio
1975,29.8,Agosto
1975,24.8,Septiembre
1975,20.6,Octubre
1975,14.5,Noviembre
1975,7.7,Diciembre
1976,10.0,Enero
1976,12.6,Febrero
